Name,Address,Location
"
ファミリーマート 白山五丁目店
",東京都文京区白山5丁目33番13号,"{'lat': 35.7226156, 'lng': 139.7524082}"
"
ファミリーマート 文京シビックセンター店
",東京都文京区春日1丁目16-21文京シビックセンター1F,"{'lat': 35.7079305, 'lng': 139.752591}"
"
ファミリーマート 文京目白台三丁目店
",東京都文京区目白台3-28-6,"{'lat': 35.71808499999999, 'lng': 139.7248805}"
"
ファミリーマート 湯島駅前店
",東京都文京区湯島3丁目35-11,"{'lat': 35.7080127, 'lng': 139.7706516}"
"
ファミリーマート 本駒込駅前店
",東京都文京区本駒込3丁目1-6,"{'lat': 35.7255023, 'lng': 139.7538005}"
"
ミニストップ 新大塚店
",東京都文京区大塚6-10-6,"{'lat': 35.7261126, 'lng': 139.7267024}"
"
ミニストップ 江戸川橋店
",東京都文京区関口1-13-12,"{'lat': 35.7088839, 'lng': 139.7329363}"
"
ミニストップ 茗荷谷店
",東京都文京区春日2丁目10番16号,"{'lat': 35.7130418, 'lng': 139.7420344}"
"
ミニストップ 文京後楽店
",東京都文京区後楽2-23-7,"{'lat': 35.7076404, 'lng': 139.743752}"
"
セブンイレブン 文京神田明神下店
",東京都文京区湯島1ー3ー4,"{'lat': 35.7014498, 'lng': 139.7665366}"
"
セブンイレブン 文京上野広小路西店
",東京都文京区湯島3-41-2,"{'lat': 35.7082466, 'lng': 139.7722271}"
"
セブンイレブン 文京千駄木1丁目店
",東京都文京区千駄木1-23-3,"{'lat': 35.7248474, 'lng': 139.7604865}"
"
セブンイレブン 文京水道1丁目店
",東京都文京区水道1-6-7,"{'lat': 35.7105085, 'lng': 139.7402939}"
"
セブンイレブン 東京ドームシティミーツポート店
",東京都文京区後楽1-3-61,"{'lat': 35.7053406, 'lng': 139.7521112}"
"
セブンイレブン 文京本郷4丁目店
",東京都文京区本郷4-3-4,"{'lat': 35.7075893, 'lng': 139.7588524}"
"
セブンイレブン 文京本駒込2の南店
",東京都文京区本駒込2-11-7,"{'lat': 35.7282328, 'lng': 139.7467417}"
"
セブンイレブン 江戸川橋店
",東京都文京区関口1ー10ー11,"{'lat': 35.7094315, 'lng': 139.7318078}"
"
セブンイレブン 文京千石1丁目店
",東京都文京区千石1-18-13,"{'lat': 35.7272319, 'lng': 139.7425848}"
"
セブンイレブン 文京関口1丁目店
",東京都文京区関口1-29-3,"{'lat': 35.7104675, 'lng': 139.7244091}"
"
セブンイレブン 文京大塚4丁目店
",東京都文京区大塚4-41-12,"{'lat': 35.7219238, 'lng': 139.7339189}"
"
セブンイレブン 文京向丘1丁目店
",東京都文京区向丘1-1-14,"{'lat': 35.7166224, 'lng': 139.7582699}"
"
セブンイレブン 文京動坂上店
",東京都文京区本駒込3-10-21,"{'lat': 35.7278049, 'lng': 139.7562725}"
"
セブンイレブン 文京小石川4丁目店
",東京都文京区小石川4ー1ー9,"{'lat': 35.71143420000001, 'lng': 139.7450463}"
"
セブンイレブン 文京小石川1丁目店
",東京都文京区小石川1ー10-5,"{'lat': 35.7119719, 'lng': 139.751614}"
"
セブンイレブン 文京目白台2丁目店
",東京都文京区目白台2ー14ー15,"{'lat': 35.7186323, 'lng': 139.7225113}"
"
セブンイレブン 文京本駒込2丁目店
",東京都文京区本駒込2ー19ー4ー102,"{'lat': 35.7289804, 'lng': 139.7515707}"
