Name,Address,Location
"
ローソン 台東三丁目店
",東京都台東区台東3-5-10,"{'lat': 35.7041262, 'lng': 139.7794449}"
"
ローソン 元浅草三丁目店
",東京都台東区元浅草3-5-6,"{'lat': 35.7068636, 'lng': 139.7856556}"
"
ローソン 浅草七丁目店
",東京都台東区浅草7-9-1,"{'lat': 35.7184826, 'lng': 139.8022979}"
"
ローソン 池之端一丁目店
",東京都台東区池之端1-1-1,"{'lat': 35.70892240000001, 'lng': 139.7695945}"
"
ローソン 上野五丁目昭和通店
",東京都台東区上野5-1-1,"{'lat': 35.7028945, 'lng': 139.7754003}"
"
ローソン 東上野三丁目店
",東京都台東区東上野3-17-8,"{'lat': 35.7110066, 'lng': 139.77809}"
"
ローソン 東上野車坂通店
",東京都台東区東上野3-13-1,"{'lat': 35.7102356, 'lng': 139.7791291}"
"
ローソン 寿三丁目店
",東京都台東区寿3-3-10,"{'lat': 35.7059213, 'lng': 139.7923767}"
"
ローソン 千束四丁目店
",東京都台東区千束4-28-5,"{'lat': 35.7224534, 'lng': 139.7947935}"
"
ローソン 新御徒町店
",東京都台東区台東4-27-5,"{'lat': 35.70695070000001, 'lng': 139.7801962}"
"
ローソン 上野五丁目店
",東京都台東区上野5-10-24,"{'lat': 35.7048149, 'lng': 139.7743445}"
"
ローソン 浅草橋一丁目店
",東京都台東区浅草橋1-5-5,"{'lat': 35.6970297, 'lng': 139.7835269}"
"
ローソン H橋場二丁目店
",東京都台東区橋場2-14-20,"{'lat': 35.7267091, 'lng': 139.8080991}"
"
ローソン 台東元浅草四丁目店
",東京都台東区元浅草4-10-6,"{'lat': 35.7101618, 'lng': 139.7878415}"
"
ローソン 上野仲町通店
",東京都台東区上野2-12-9,"{'lat': 35.709384, 'lng': 139.7719914}"
"
ローソン 御徒町駅南口店
",東京都台東区上野5-27-2,"{'lat': 35.7069569, 'lng': 139.7746278}"
"
ローソン 鶯谷駅前店
",東京都台東区根岸1-7-5,"{'lat': 35.7225596, 'lng': 139.7777638}"
"
ローソン H浅草観音店
",東京都台東区浅草2-28-25,"{'lat': 35.716292, 'lng': 139.7960355}"
"
ローソン 浅草橋駅前店
",東京都台東区浅草橋1-9-16,"{'lat': 35.696621, 'lng': 139.7855017}"
"
ナチュラルローソン NL東上野五丁目店
",東京都台東区東上野5-2-2,"{'lat': 35.711797, 'lng': 139.7813365}"
"
ローソン 上野四丁目店
",東京都台東区上野4-9-6,"{'lat': 35.7101657, 'lng': 139.774042}"
"
ローソン 台東根岸店
",東京都台東区根岸5-8-16,"{'lat': 35.726992, 'lng': 139.7844469}"
